0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Week,1,1,2,2,3,3,4,4,5,5,6,6
,Game of Week,1,1,1,1,1,1,1,1,1,1,1,1
,Game of Day,1,2,1,2,1,2,1,2,1,2,1,2
Pods,1,1,1,17,17,33,33,49,49,64,64,91,91
,2,1,1,17,17,33,33,50,50,77,77,92,92
,3,2,2,19,19,35,35,51,51,66,66,93,93
,4,2,2,19,19,35,35,60,60,67,67,93,93
,5,2,2,20,20,37,37,53,53,68,68,92,92
,6,3,3,20,20,39,39,53,53,77,77,91,91
,7,3,3,21,21,36,36,54,54,78,78,79,79
,8,4,4,18,18,41,41,55,55,78,78,81,81
,9,1,1,18,18,42,42,61,61,70,70,83,83
,10,4,4,18,18,47,47,56,56,70,70,91,91
,11,4,4,21,21,34,34,61,61,71,71,92,92
,12,5,5,20,20,34,34,60,60,69,69,80,80
,13,5,5,22,22,36,36,54,54,71,71,82,82
,14,6,6,22,22,36,36,51,51,71,71,82,82
,15,6,6,23,23,34,34,52,52,78,78,85,85
,16,3,3,19,19,37,37,52,52,72,72,87,87
,17,6,6,22,22,38,38,52,52,66,66,84,84
,18,7,7,23,23,38,38,61,61,67,67,81,81
,19,7,7,24,24,40,40,49,49,70,70,89,89
,20,8,8,25,25,38,38,57,57,65,65,86,86
,21,5,5,25,25,40,40,50,50,74,74,80,80
,22,8,8,26,26,41,41,58,58,69,69,90,90
,23,8,8,26,26,42,42,60,60,65,65,80,80
,24,9,9,17,17,43,43,54,54,65,65,79,79
,25,9,9,27,27,44,44,44,44,76,76,79,79
,26,10,10,21,21,39,39,56,56,73,73,84,84
,27,10,10,24,24,35,35,55,55,67,67,88,88
,28,7,7,24,24,40,40,56,56,75,75,93,93
,29,10,10,27,27,47,47,55,55,66,66,86,86
,30,11,11,28,28,44,44,44,44,68,68,82,82
,31,11,11,28,28,42,42,51,51,64,64,81,81
,32,12,12,26,26,47,47,50,50,68,68,83,83
,33,9,9,29,29,41,41,53,53,69,69,88,88
,34,12,12,31,31,37,37,59,59,77,77,84,84
,35,12,12,28,28,33,33,49,49,64,64,88,88
,36,13,13,25,25,39,39,62,62,73,73,83,83
,37,13,13,32,32,45,45,63,63,45,45,87,87
,38,14,14,30,30,43,43,59,59,75,75,85,85
,39,14,14,30,30,43,43,59,59,75,75,85,85
,40,11,11,29,29,45,45,57,57,45,45,90,90
,41,14,14,23,23,45,45,57,57,45,45,86,86
,42,15,15,27,27,46,46,62,62,74,74,89,89
,43,16,16,32,32,46,46,63,63,74,74,87,87
,44,16,16,30,30,48,48,58,58,72,72,94,94
,45,13,13,31,31,48,48,63,63,73,73,94,94
,46,15,15,32,32,44,44,44,44,76,76,90,90
,47,15,15,31,31,48,48,58,58,72,72,89,89
,48,16,16,29,29,46,46,62,62,76,76,94,94
