[None, None, None, 'Pods', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Week', 'Game of Week', 'Game of Day', 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]
[1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 1, 4, 4, 5, 5, 6, 6, 3, 6, 7, 7, 8, 5, 8, 8, 9, 9, 10, 10, 7, 10, 11, 11, 12, 9, 12, 12, 13, 13, 14, 14, 11, 14, 15, 16, 16, 13, 15, 15, 16]
[1, 1, 2, 1, 1, 2, 2, 2, 3, 3, 4, 1, 4, 4, 5, 5, 6, 6, 3, 6, 7, 7, 8, 5, 8, 8, 9, 9, 10, 10, 7, 10, 11, 11, 12, 9, 12, 12, 13, 13, 14, 14, 11, 14, 15, 16, 16, 13, 15, 15, 16]
[2, 1, 1, 17, 17, 19, 19, 20, 20, 21, 18, 18, 18, 21, 20, 22, 22, 23, 19, 22, 23, 24, 25, 25, 26, 26, 17, 27, 21, 24, 24, 27, 28, 28, 26, 29, 31, 28, 25, 32, 30, 30, 29, 23, 27, 32, 30, 31, 32, 31, 29]
[2, 1, 2, 17, 17, 19, 19, 20, 20, 21, 18, 18, 18, 21, 20, 22, 22, 23, 19, 22, 23, 24, 25, 25, 26, 26, 17, 27, 21, 24, 24, 27, 28, 28, 26, 29, 31, 28, 25, 32, 30, 30, 29, 23, 27, 32, 30, 31, 32, 31, 29]
[3, 1, 1, 33, 33, 35, 35, 37, 39, 36, 41, 42, 47, 34, 34, 36, 36, 34, 37, 38, 38, 40, 38, 40, 41, 42, 43, 44, 39, 35, 40, 47, 44, 42, 47, 41, 37, 33, 39, 45, 43, 43, 45, 45, 46, 46, 48, 48, 44, 48, 46]
[3, 1, 2, 33, 33, 35, 35, 37, 39, 36, 41, 42, 47, 34, 34, 36, 36, 34, 37, 38, 38, 40, 38, 40, 41, 42, 43, 44, 39, 35, 40, 47, 44, 42, 47, 41, 37, 33, 39, 45, 43, 43, 45, 45, 46, 46, 48, 48, 44, 48, 46]
[4, 1, 1, 49, 50, 51, 60, 53, 53, 54, 55, 61, 56, 61, 60, 54, 51, 52, 52, 52, 61, 49, 57, 50, 58, 60, 54, 44, 56, 55, 56, 55, 44, 51, 50, 53, 59, 49, 62, 63, 59, 59, 57, 57, 62, 63, 58, 63, 44, 58, 62]
[4, 1, 2, 49, 50, 51, 60, 53, 53, 54, 55, 61, 56, 61, 60, 54, 51, 52, 52, 52, 61, 49, 57, 50, 58, 60, 54, 44, 56, 55, 56, 55, 44, 51, 50, 53, 59, 49, 62, 63, 59, 59, 57, 57, 62, 63, 58, 63, 44, 58, 62]
[5, 1, 1, 64, 77, 66, 67, 68, 77, 78, 78, 70, 70, 71, 69, 71, 71, 78, 72, 66, 67, 70, 65, 74, 69, 65, 65, 76, 73, 67, 75, 66, 68, 64, 68, 69, 77, 64, 73, 45, 75, 75, 45, 45, 74, 74, 72, 73, 76, 72, 76]
[5, 1, 2, 64, 77, 66, 67, 68, 77, 78, 78, 70, 70, 71, 69, 71, 71, 78, 72, 66, 67, 70, 65, 74, 69, 65, 65, 76, 73, 67, 75, 66, 68, 64, 68, 69, 77, 64, 73, 45, 75, 75, 45, 45, 74, 74, 72, 73, 76, 72, 76]
[6, 1, 1, 91, 92, 93, 93, 92, 91, 79, 81, 83, 91, 92, 80, 82, 82, 85, 87, 84, 81, 89, 86, 80, 90, 80, 79, 79, 84, 88, 93, 86, 82, 81, 83, 88, 84, 88, 83, 87, 85, 85, 90, 86, 89, 87, 94, 94, 90, 89, 94]
[6, 1, 2, 91, 92, 93, 93, 92, 91, 79, 81, 83, 91, 92, 80, 82, 82, 85, 87, 84, 81, 89, 86, 80, 90, 80, 79, 79, 84, 88, 93, 86, 82, 81, 83, 88, 84, 88, 83, 87, 85, 85, 90, 86, 89, 87, 94, 94, 90, 89, 94]
